GMDE_nam;GMDE;kat_2
Belp;861;0.239414935
Blumenstein;922;1
Burgistein;863;1
Forst-Längenbühl;948;0.930463576
Gerzensee;866;0.430769231
Gurzelen;867;0.961325967
Kaufdorf;869;1
Kirchdorf;872;0.691806331
Niedermuhlern;877;0.256830601
Pohlern;936;1
Riggisberg;879;0.608938547
Rüeggisberg;880;0.139964789
Seftigen;883;0.910852713
Stocken-Höfen;770;0.169014085
Thurnen;889;1
Toffen;884;1
Uebeschi;943;0.402531646
Uetendorf;944;0.028248588
Wald;888;0.078491335
Wattenwil;886;0.994836489
