"year","gve","type","water_need_daily_l","water_need_monthly_m3","water_need_monthly_mm"
1975,15436.1279161252,"observed",1697974.07077378,51788.2091586001,0.44645007895345
1980,16563.9668259997,"observed",1822036.35085997,55572.108701229,0.479069902596801
1985,15879.5865202122,"observed",1746754.51722334,53276.0127753118,0.459275972200964
1990,16337.8978626444,"observed",1797168.76489088,54813.6473291719,0.472531442492861
1996,14229.2558080508,"observed",1565218.13888559,47739.1532360105,0.411544424448367
2000,13863.724701339,"observed",1525009.71714729,46512.7963729924,0.400972382525797
2005,14434.2801893354,"observed",1587770.82082689,48427.0100352201,0.417474224441553
2010,14869.1045334575,"observed",1635601.49868033,49885.8457097501,0.430050394049569
2015,14244.4049371152,"observed",1566884.54308267,47789.9785640215,0.411982573827772
2020,13441.0081522578,"observed",1478510.89674835,45094.5823508247,0.388746399576075
2025,13825.8138693097,"extrapolated",1520839.52562406,46385.6055315339,0.399875909754603
2030,13650.8864013768,"extrapolated",1501597.50415145,45798.7238766193,0.39481658514327
2035,13475.958933444,"extrapolated",1482355.48267885,45211.8422217048,0.389757260531938
2040,13301.0314655112,"extrapolated",1463113.46120624,44624.9605667902,0.384697935920605
2045,13126.1039975784,"extrapolated",1443871.43973363,44038.0789118757,0.379638611309273
2050,12951.1765296456,"extrapolated",1424629.41826102,43451.1972569611,0.37457928669794
2055,12951.1765296456,"extrapolated",1424629.41826102,43451.1972569611,0.37457928669794
2060,12951.1765296456,"extrapolated",1424629.41826102,43451.1972569611,0.37457928669794
2065,12951.1765296456,"extrapolated",1424629.41826102,43451.1972569611,0.37457928669794
2070,12951.1765296456,"extrapolated",1424629.41826102,43451.1972569611,0.37457928669794
2075,12951.1765296456,"extrapolated",1424629.41826102,43451.1972569611,0.37457928669794
2080,12951.1765296456,"extrapolated",1424629.41826102,43451.1972569611,0.37457928669794
2085,12951.1765296456,"extrapolated",1424629.41826102,43451.1972569611,0.37457928669794
2090,12951.1765296456,"extrapolated",1424629.41826102,43451.1972569611,0.37457928669794
2095,12951.1765296456,"extrapolated",1424629.41826102,43451.1972569611,0.37457928669794
2100,12951.1765296456,"extrapolated",1424629.41826102,43451.1972569611,0.37457928669794
