"","parde_coeff_2022","parde_coeff_2018","parde_coeff_med_term_rcp85"
"1",0.998632326053469,2.73368248589153,1.18008594052773
"2",1.11234217762485,1.1251487866015,1.1417258171915
"3",0.687545529145852,1.14202293764266,1.31918629158775
"4",1.21378615338103,1.37180546414418,1.38104211182948
"5",0.718400253379594,0.859293386172999,1.53322043963815
"6",0.345742215055931,1.3877553878254,1.27420465366906
"7",0.455530441542736,0.475907073139992,0.772921047500305
"8",0.46278631174328,0.294660486479674,0.49070083359561
"9",1.50723427534876,0.370195067986725,0.477952961679522
"10",1.22558558039763,0.342706305751215,0.621577690738699
"11",1.1057773426815,0.298889526823599,0.810883103244332
"12",2.16663739364536,1.59793309154052,0.99649910879786
